HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT,Lat,Long,Google Map Link
Haji Asghar Ali Welfare Clinic,Hafizabad,Nawab Colony,"Haji Asghar Ali Welfare Clinic, Near Dhq Hospital, Nawab Colony, Hafizabad",-,3167160186,,,https://www.google.com/maps/search/?api=1&query=Haji+Asghar+Ali+Welfare+Clinic%2C+Near+Dhq+Hospital%2C+Nawab+Colony%2C+Hafizabad
Ameen Clinic Hafizabad,Hafizabad,Post Office Road,"Ameen Clinic Hafizabad, Post Office Road, Near Vanike Chowk, Post Office Road, Hafizabad",1,3217466236,,,https://www.google.com/maps/search/?api=1&query=Ameen+Clinic+Hafizabad%2C+Post+Office+Road%2C+Near+Vanike+Chowk%2C+Post+Office+Road%2C+Hafizabad
Modern Homoeopathic Clinic,Hafizabad,Punjab,"Modern Homoeopathic Clinic, Sarkari Parawo, Street Molvi Yahya Mosque, Punjab, Hafizabad",1,042-32591432,,,https://www.google.com/maps/search/?api=1&query=Modern+Homoeopathic+Clinic%2C+Sarkari+Parawo%2C+Street+Molvi+Yahya+Mosque%2C+Punjab%2C+Hafizabad
Zakria Memorial Clinic (Dr. Zartaj Zakria),Hafizabad,Qadirabad,"Zakria Memorial Clinic (Dr. Zartaj Zakria), Gujranwala Rd, Qadirabad, Hafizabad",-,3358160160,,,https://www.google.com/maps/search/?api=1&query=Zakria+Memorial+Clinic+%28Dr.+Zartaj+Zakria%29%2C+Gujranwala+Rd%2C+Qadirabad%2C+Hafizabad
Akram Clinic,Hafizabad,Railway Road,"Akram Clinic, Opposite Government High School # 1, Railway Road, Hafizabad",2,547520471,,,https://www.google.com/maps/search/?api=1&query=Akram+Clinic%2C+Opposite+Government+High+School+%23+1%2C+Railway+Road%2C+Hafizabad
Fazal Poly Clinic,Hafizabad,Rasheedpura,"Fazal Poly Clinic, Jalalpur Rd, Rasheedpura, Hafizabad",1,0309 7762036,,,https://www.google.com/maps/search/?api=1&query=Fazal+Poly+Clinic%2C+Jalalpur+Rd%2C+Rasheedpura%2C+Hafizabad
Lasani Clinic,Hafizabad,Sargodha Road,"Lasani Clinic, Pindi Bawery, Sargodha Road, Sargodha Road, Hafizabad",1,3366521434,,,https://www.google.com/maps/search/?api=1&query=Lasani+Clinic%2C+Pindi+Bawery%2C+Sargodha+Road%2C+Sargodha+Road%2C+Hafizabad
Saqib Bashir General Hospital,Hafizabad,Thatha Phattak,"Saqib Bashir General Hospital, Sarodha Road, Thatha Phattak, Hafizabad",2,(0547) 641114,,,https://www.google.com/maps/search/?api=1&query=Saqib+Bashir+General+Hospital%2C+Sarodha+Road%2C+Thatha+Phattak%2C+Hafizabad
Hangu Medical Complex Hospital,Hangu,Hangu Khyber Pahktunkhwa,"Hangu Medical Complex Hospital, Hangu, Khyber Pakhtunkhwa, Pakistan, Hangu,Khyber Pahktunkhwa, Hangu",3,(0925) 782319,,,https://www.google.com/maps/search/?api=1&query=Hangu+Medical+Complex+Hospital%2C+Hangu%2C+Khyber+Pakhtunkhwa%2C+Pakistan%2C+Hangu%2CKhyber+Pahktunkhwa%2C+Hangu
Yahya Hospital Haripur,Haripur,Abbottabad Rd,"Yahya Hospital Haripur, Habib Plaza, Haripur-Abbottabad Sabzi Mandi Darvesh, Abbottabad Rd, Haripur",7,3144202939,,,https://www.google.com/maps/search/?api=1&query=Yahya+Hospital+Haripur%2C+Habib+Plaza%2C+Haripur-Abbottabad+Sabzi+Mandi+Darvesh%2C+Abbottabad+Rd%2C+Haripur
